Time;Open;High;Low;Close;Id
2022-08-23;11.06;11.06;11.06;11.06;cosmos
2022-08-27;12.14;13.01;11.53;11.53;cosmos
2022-08-31;11.26;11.92;10.63;11.92;cosmos
2022-09-03;11.8;12.75;11.8;12.63;cosmos
2022-09-07;12.62;12.94;11.83;11.83;cosmos
2022-09-11;12.97;16.05;12.97;16.05;cosmos
2022-09-15;15.67;15.67;13.93;14.03;cosmos
2022-09-19;14.88;16.62;14.77;14.77;cosmos
2022-09-23;15.69;15.69;13.48;14.66;cosmos
2022-09-27;14.24;14.24;13.66;13.9;cosmos
2022-09-30;13.54;13.54;12.8;12.8;cosmos
2022-10-03;13.01;13.01;12.05;12.05;cosmos
2022-10-07;12.89;13.02;12.89;12.99;cosmos
2022-10-11;12.86;13.21;12.47;12.47;cosmos
2022-10-15;12.17;12.17;11.4;11.65;cosmos
2022-10-19;11.54;12.55;11.54;12.55;cosmos
2022-10-23;11.78;11.78;11.38;11.72;cosmos
2022-10-27;12.12;12.29;11.65;12.29;cosmos
2022-10-31;12.7;13.93;12.7;13.93;cosmos
2022-11-03;14.31;14.31;13.31;13.31;cosmos
2022-11-07;13.49;15.4;13.49;14.48;cosmos
2022-11-11;14.28;14.28;9.71;12.19;cosmos
2022-11-15;11.74;11.74;10.21;10.32;cosmos
2022-11-19;10.56;10.56;9.93;10.01;cosmos
2022-11-23;10.0;10.0;9.04;9.54;cosmos
2022-11-27;9.93;10.18;9.93;10.12;cosmos
2022-11-30;9.95;10.2;9.88;10.2;cosmos
2022-12-03;10.54;10.54;10.27;10.36;cosmos
2022-12-07;10.04;10.28;10.04;10.18;cosmos
2022-12-11;9.62;9.94;9.62;9.94;cosmos
2022-12-15;9.55;9.74;9.55;9.62;cosmos
2022-12-19;9.41;9.41;8.58;8.86;cosmos
2022-12-23;8.64;8.99;8.64;8.99;cosmos
2022-12-27;8.92;9.17;8.92;9.17;cosmos
2022-12-31;9.22;9.37;9.12;9.37;cosmos
2023-01-03;9.35;9.8;9.35;9.8;cosmos
2023-01-07;10.16;10.26;10.08;10.26;cosmos
2023-01-11;10.19;11.33;10.19;11.33;cosmos
2023-01-15;11.85;12.92;11.85;12.92;cosmos
2023-01-19;12.78;12.78;11.58;11.58;cosmos
2023-01-23;12.01;13.33;12.01;13.33;cosmos
2023-01-27;13.12;13.63;12.45;13.1;cosmos
2023-01-31;13.57;13.85;13.05;13.05;cosmos
2023-02-03;13.38;14.86;13.38;14.4;cosmos
2023-02-07;15.0;15.0;14.14;14.14;cosmos
2023-02-11;15.0;15.17;13.5;13.71;cosmos
2023-02-15;13.76;13.76;13.14;13.42;cosmos
2023-02-19;14.26;14.3;13.48;14.3;cosmos
2023-02-23;14.14;14.39;13.58;13.58;cosmos
2023-02-27;13.74;13.74;12.82;12.95;cosmos
2023-02-28;12.78;12.78;12.28;12.45;cosmos
2023-03-07;12.0;12.03;11.83;11.99;cosmos
2023-03-11;11.76;11.76;10.97;11.16;cosmos
2023-03-15;11.05;13.07;11.05;13.07;cosmos
2023-03-19;12.48;13.22;12.29;12.29;cosmos
2023-03-23;12.45;12.45;11.4;11.4;cosmos
2023-03-27;11.74;11.74;11.17;11.34;cosmos
2023-03-31;10.86;11.44;10.86;11.14;cosmos
2023-04-03;11.19;11.4;11.14;11.14;cosmos
2023-04-07;11.2;11.54;11.2;11.33;cosmos
2023-04-11;11.06;11.19;10.96;11.19;cosmos
2023-04-15;11.28;12.25;11.28;12.25;cosmos
2023-04-19;12.39;12.68;12.35;12.54;cosmos
2023-04-23;11.7;11.7;10.78;11.05;cosmos
2023-04-27;10.83;11.07;10.83;10.89;cosmos
2023-04-30;11.53;11.71;11.53;11.71;cosmos
2023-05-03;11.61;11.61;11.01;11.04;cosmos
2023-05-07;11.09;11.23;10.85;10.85;cosmos
2023-05-11;11.04;11.04;10.39;11.01;cosmos
2023-05-15;11.05;11.17;10.89;10.9;cosmos
2023-05-19;10.82;10.93;10.76;10.76;cosmos
2023-05-23;10.61;10.61;10.49;10.49;cosmos
2023-05-27;10.52;10.53;10.42;10.53;cosmos
2023-05-31;10.54;10.94;10.54;10.84;cosmos
2023-06-03;10.47;10.65;10.33;10.65;cosmos
2023-06-07;10.7;10.77;10.03;10.16;cosmos
2023-06-11;9.42;9.44;8.25;8.25;cosmos
2023-06-15;8.44;8.76;8.44;8.47;cosmos
2023-06-19;8.69;8.89;8.55;8.55;cosmos
2023-06-23;8.58;9.06;8.58;9.02;cosmos
2023-06-27;9.26;9.48;9.21;9.21;cosmos
2023-06-30;9.42;9.42;9.0;9.0;cosmos
2023-07-03;9.29;9.58;9.29;9.58;cosmos
2023-07-07;9.92;9.92;9.23;9.23;cosmos
2023-07-11;9.21;9.44;9.21;9.24;cosmos
2023-07-15;9.2;9.89;9.07;9.76;cosmos
2023-07-19;9.71;9.71;9.28;9.28;cosmos
2023-07-23;9.18;9.43;9.18;9.23;cosmos
2023-07-27;9.29;9.29;8.96;8.99;cosmos
2023-07-31;8.9;9.08;8.9;9.0;cosmos
2023-08-03;8.86;8.96;8.71;8.71;cosmos
2023-08-07;8.63;8.63;8.46;8.46;cosmos
2023-08-11;8.48;8.54;8.41;8.41;cosmos
2023-08-15;8.36;8.5;8.36;8.5;cosmos
2023-08-19;8.1;8.1;7.4;7.58;cosmos
2023-08-23;7.71;7.85;7.55;7.55;cosmos
