Time;Open;High;Low;Close;Id
2022-08-23;9.7;9.7;9.7;9.7;neo
2022-08-27;9.96;10.02;9.03;9.03;neo
2022-08-31;9.18;9.41;8.94;9.07;neo
2022-09-03;9.03;9.17;9.03;9.04;neo
2022-09-07;9.15;9.51;8.6;8.6;neo
2022-09-11;8.87;9.91;8.87;9.91;neo
2022-09-15;9.78;9.89;8.92;9.1;neo
2022-09-19;9.12;9.12;8.26;8.26;neo
2022-09-23;8.42;8.46;8.09;8.46;neo
2022-09-27;8.58;8.58;8.28;8.37;neo
2022-09-30;8.93;8.93;8.66;8.77;neo
2022-10-03;8.85;8.85;8.53;8.53;neo
2022-10-07;8.74;8.93;8.57;8.57;neo
2022-10-11;8.45;8.54;8.19;8.19;neo
2022-10-15;8.03;8.03;7.74;7.74;neo
2022-10-19;7.74;8.05;7.74;7.92;neo
2022-10-23;7.69;8.03;7.69;8.03;neo
2022-10-27;8.56;8.59;8.2;8.59;neo
2022-10-31;8.44;8.8;8.44;8.58;neo
2022-11-03;8.52;8.52;8.21;8.21;neo
2022-11-07;8.35;9.03;8.35;8.56;neo
2022-11-11;8.64;8.64;6.16;7.17;neo
2022-11-15;6.83;6.83;6.58;6.72;neo
2022-11-19;6.8;6.8;6.6;6.65;neo
2022-11-23;6.78;6.78;6.45;6.64;neo
2022-11-27;7.0;7.0;6.87;6.99;neo
2022-11-30;6.86;6.86;6.62;6.7;neo
2022-12-03;7.03;7.03;6.8;7.0;neo
2022-12-07;6.83;7.15;6.83;7.15;neo
2022-12-11;6.86;7.33;6.86;7.33;neo
2022-12-15;7.68;7.75;7.59;7.61;neo
2022-12-19;7.44;7.44;6.73;6.76;neo
2022-12-23;6.3;6.57;6.3;6.44;neo
2022-12-27;6.44;6.44;6.25;6.25;neo
2022-12-31;6.2;6.2;6.05;6.09;neo
2023-01-03;6.13;6.52;6.13;6.52;neo
2023-01-07;6.44;6.6;6.44;6.56;neo
2023-01-11;6.55;6.86;6.55;6.86;neo
2023-01-15;7.04;7.69;7.04;7.69;neo
2023-01-19;7.74;7.74;7.2;7.2;neo
2023-01-23;7.47;8.02;7.47;8.02;neo
2023-01-27;8.11;8.22;7.76;8.22;neo
2023-01-31;8.28;8.4;8.06;8.06;neo
2023-02-03;8.19;8.9;8.19;8.9;neo
2023-02-07;8.96;8.96;8.68;8.68;neo
2023-02-11;9.15;9.24;8.91;9.05;neo
2023-02-15;8.94;8.94;8.41;8.7;neo
2023-02-19;9.25;9.74;8.89;9.74;neo
2023-02-23;10.38;14.46;10.38;13.56;neo
2023-02-27;12.82;12.82;11.39;12.51;neo
2023-02-28;13.21;13.21;11.99;12.32;neo
2023-03-07;11.64;12.06;11.64;11.8;neo
2023-03-11;11.58;11.58;9.82;9.82;neo
2023-03-15;9.53;11.57;9.53;11.57;neo
2023-03-19;10.47;12.59;10.47;11.92;neo
2023-03-23;13.58;13.58;11.71;11.71;neo
2023-03-27;12.64;12.64;12.21;12.34;neo
2023-03-31;12.62;13.22;12.53;12.53;neo
2023-04-03;12.62;12.62;12.13;12.13;neo
2023-04-07;11.99;12.4;11.99;12.4;neo
2023-04-11;12.2;12.45;12.2;12.45;neo
2023-04-15;12.52;12.95;12.21;12.95;neo
2023-04-19;13.0;13.56;12.94;13.04;neo
2023-04-23;11.81;11.81;11.01;11.45;neo
2023-04-27;11.29;11.29;10.75;10.75;neo
2023-04-30;10.87;10.88;10.81;10.88;neo
2023-05-03;10.67;10.67;10.3;10.3;neo
2023-05-07;10.31;10.47;10.03;10.03;neo
2023-05-11;9.96;9.96;9.14;9.68;neo
2023-05-15;9.14;9.18;9.08;9.09;neo
2023-05-19;9.36;9.54;9.34;9.45;neo
2023-05-23;9.49;9.89;9.13;9.89;neo
2023-05-27;10.17;10.56;9.76;9.76;neo
2023-05-31;10.62;10.89;10.62;10.74;neo
2023-06-03;10.53;10.53;10.12;10.25;neo
2023-06-07;10.53;10.53;9.33;9.67;neo
2023-06-11;8.94;9.04;7.67;7.67;neo
2023-06-15;7.76;7.85;7.48;7.48;neo
2023-06-19;7.9;7.9;7.68;7.68;neo
2023-06-23;7.76;8.96;7.76;8.61;neo
2023-06-27;9.16;9.16;8.85;8.85;neo
2023-06-30;9.09;9.09;8.43;8.74;neo
2023-07-03;9.55;9.89;9.55;9.64;neo
2023-07-07;9.42;9.42;8.99;8.99;neo
2023-07-11;9.06;9.06;8.94;8.94;neo
2023-07-15;9.15;9.62;9.11;9.26;neo
2023-07-19;9.31;9.31;8.96;8.96;neo
2023-07-23;8.95;9.2;8.95;9.12;neo
2023-07-27;9.1;9.1;8.66;8.76;neo
2023-07-31;8.75;8.85;8.75;8.85;neo
2023-08-03;8.71;8.87;8.59;8.59;neo
2023-08-07;8.49;8.49;8.4;8.46;neo
2023-08-11;8.4;8.56;8.4;8.47;neo
2023-08-15;8.48;8.53;8.47;8.53;neo
2023-08-19;8.07;8.07;6.9;7.0;neo
2023-08-23;7.16;7.2;7.1;7.1;neo
