Time;Open;High;Low;Close;Id
2022-08-23;7.4;7.4;7.4;7.4;polkadot
2022-08-27;7.66;7.66;6.94;6.94;polkadot
2022-08-31;7.06;7.29;6.9;6.98;polkadot
2022-09-03;7.02;7.3;7.02;7.3;polkadot
2022-09-07;7.28;7.37;6.89;6.89;polkadot
2022-09-11;7.2;7.79;7.2;7.79;polkadot
2022-09-15;7.69;7.69;7.09;7.21;polkadot
2022-09-19;6.93;7.06;6.45;6.45;polkadot
2022-09-23;6.4;6.46;6.16;6.46;polkadot
2022-09-27;6.44;6.54;6.21;6.54;polkadot
2022-09-30;6.39;6.42;6.39;6.42;polkadot
2022-10-03;6.32;6.32;6.18;6.18;polkadot
2022-10-07;6.38;6.5;6.34;6.34;polkadot
2022-10-11;6.3;6.47;6.26;6.26;polkadot
2022-10-15;6.18;6.18;6.05;6.05;polkadot
2022-10-19;6.05;6.26;6.05;6.16;polkadot
2022-10-23;6.1;6.1;5.83;5.85;polkadot
2022-10-27;5.96;6.47;5.91;6.47;polkadot
2022-10-31;6.34;6.65;6.34;6.65;polkadot
2022-11-03;6.63;6.63;6.25;6.25;polkadot
2022-11-07;6.42;7.07;6.42;6.82;polkadot
2022-11-11;7.12;7.12;5.39;5.96;polkadot
2022-11-15;5.78;5.86;5.75;5.86;polkadot
2022-11-19;5.92;5.92;5.65;5.65;polkadot
2022-11-23;5.61;5.61;5.2;5.27;polkadot
2022-11-27;5.44;5.44;5.27;5.3;polkadot
2022-11-30;5.3;5.31;5.13;5.31;polkadot
2022-12-03;5.48;5.65;5.4;5.65;polkadot
2022-12-07;5.5;5.61;5.49;5.5;polkadot
2022-12-11;5.3;5.43;5.27;5.27;polkadot
2022-12-15;5.17;5.28;5.17;5.22;polkadot
2022-12-19;5.21;5.21;4.65;4.66;polkadot
2022-12-23;4.47;4.61;4.47;4.53;polkadot
2022-12-27;4.47;4.57;4.45;4.57;polkadot
2022-12-31;4.48;4.48;4.28;4.32;polkadot
2023-01-03;4.31;4.49;4.31;4.49;polkadot
2023-01-07;4.53;4.69;4.53;4.69;polkadot
2023-01-11;4.67;4.92;4.67;4.92;polkadot
2023-01-15;5.13;6.03;5.13;6.03;polkadot
2023-01-19;5.93;5.96;5.66;5.66;polkadot
2023-01-23;5.8;6.25;5.8;6.21;polkadot
2023-01-27;6.59;6.59;6.19;6.47;polkadot
2023-01-31;6.57;6.62;6.2;6.2;polkadot
2023-02-03;6.27;6.56;6.27;6.56;polkadot
2023-02-07;7.01;7.01;6.5;6.5;polkadot
2023-02-11;6.95;6.95;6.19;6.19;polkadot
2023-02-15;6.28;6.28;6.12;6.23;polkadot
2023-02-19;6.61;7.3;6.39;7.25;polkadot
2023-02-23;7.44;7.53;7.17;7.17;polkadot
2023-02-27;7.09;7.09;6.54;6.68;polkadot
2023-02-28;6.58;6.58;6.32;6.32;polkadot
2023-03-07;6.03;6.03;5.91;5.92;polkadot
2023-03-11;5.86;5.86;5.38;5.56;polkadot
2023-03-15;5.47;6.24;5.47;6.24;polkadot
2023-03-19;5.89;6.64;5.89;6.35;polkadot
2023-03-23;6.51;6.51;6.09;6.09;polkadot
2023-03-27;6.35;6.35;5.94;6.05;polkadot
2023-03-31;5.88;6.19;5.88;6.12;polkadot
2023-04-03;6.34;6.35;6.27;6.27;polkadot
2023-04-07;6.43;6.44;6.28;6.28;polkadot
2023-04-11;6.19;6.29;6.14;6.29;polkadot
2023-04-15;6.43;6.73;6.41;6.73;polkadot
2023-04-19;6.81;6.92;6.7;6.92;polkadot
2023-04-23;6.31;6.31;5.85;5.96;polkadot
2023-04-27;5.92;6.01;5.85;5.85;polkadot
2023-04-30;5.97;6.03;5.95;6.03;polkadot
2023-05-03;5.91;5.91;5.67;5.72;polkadot
2023-05-07;5.78;5.85;5.65;5.65;polkadot
2023-05-11;5.66;5.66;5.32;5.48;polkadot
2023-05-15;5.29;5.35;5.29;5.35;polkadot
2023-05-19;5.33;5.41;5.3;5.34;polkadot
2023-05-23;5.37;5.41;5.27;5.31;polkadot
2023-05-27;5.4;5.4;5.24;5.25;polkadot
2023-05-31;5.33;5.51;5.33;5.44;polkadot
2023-06-03;5.32;5.32;5.21;5.28;polkadot
2023-06-07;5.33;5.33;5.08;5.21;polkadot
2023-06-11;5.02;5.02;4.53;4.53;polkadot
2023-06-15;4.52;4.62;4.52;4.57;polkadot
2023-06-19;4.37;4.53;4.37;4.53;polkadot
2023-06-23;4.52;4.83;4.52;4.83;polkadot
2023-06-27;5.1;5.19;5.01;5.02;polkadot
2023-06-30;5.09;5.09;4.88;4.99;polkadot
2023-07-03;5.17;5.49;5.17;5.49;polkadot
2023-07-07;5.41;5.41;5.03;5.03;polkadot
2023-07-11;5.11;5.13;5.08;5.13;polkadot
2023-07-15;5.21;5.54;5.15;5.45;polkadot
2023-07-19;5.43;5.43;5.18;5.18;polkadot
2023-07-23;5.2;5.49;5.2;5.3;polkadot
2023-07-27;5.4;5.4;5.18;5.24;polkadot
2023-07-31;5.23;5.25;5.19;5.19;polkadot
2023-08-03;5.11;5.19;5.05;5.05;polkadot
2023-08-07;4.98;4.99;4.97;4.99;polkadot
2023-08-11;4.96;5.06;4.96;5.0;polkadot
2023-08-15;5.0;5.03;4.98;4.99;polkadot
2023-08-19;4.81;4.81;4.42;4.51;polkadot
2023-08-23;4.52;4.52;4.43;4.43;polkadot
